alpha,nu,phi_k,muxi,sigmaxi,a,wss,els
0.25,0.6,2.4,0.11375,0.36589573309892537,0.001,1.516966840186883,6.777605529517418
0.25,0.6,2.4,0.11375,0.37527767497325676,0.001,1.5170868138452422,6.769048587195249
0.25,0.6,2.4,0.13,0.00938194187433142,0.001,1.4372926337279999,73.73626931146771
0.25,0.6,2.4,0.13,0.01876388374866284,0.001,1.4435874135427864,34.86751703810166
0.25,0.6,2.4,0.13,0.02814582562299426,0.001,1.45405748614184,25.18611127820321
0.25,0.6,2.4,0.13,0.03752776749732568,0.001,1.4596450246206927,18.55753002752279
0.25,0.6,2.4,0.13,0.046909709371657095,0.001,1.4642355047324886,14.667309285895294
0.25,0.6,2.4,0.13,0.05629165124598852,0.001,1.4756862649892555,12.48060535495857
0.25,0.6,2.4,0.13,0.06567359312031994,0.001,1.4797043598209842,10.947938295927946
0.25,0.6,2.4,0.13,0.07505553499465135,0.001,1.4838200273610362,9.671373637836382
0.25,0.6,2.4,0.13,0.08443747686898277,0.001,1.487584552832118,9.153795887852901
0.25,0.6,2.4,0.13,0.09381941874331419,0.001,1.4909598709972394,8.204482803209267
0.25,0.6,2.4,0.13,0.10320136061764561,0.001,1.4939302400415622,7.696322732790588
0.25,0.6,2.4,0.13,0.11258330249197704,0.001,1.4964712422346091,7.368439067128884
0.25,0.6,2.4,0.13,0.12196524436630846,0.001,1.4986992875688516,7.198504147580624
0.25,0.6,2.4,0.13,0.13134718624063987,0.001,1.500606919766737,7.050034201428773
0.25,0.6,2.4,0.13,0.1407291281149713,0.001,1.5022824074022816,6.895858573034344
